日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260525,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260525,菜油,OI2701,01,瑞银期货,418,0,418,净多,0,0
20260526,菜油,OI2609,09,中粮期货,7182,50525,-43343,净空,527,-117
20260526,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260526,菜油,OI2609,09,摩根大通期货,18623,3106,15517,净多,-1205,348
20260526,菜油,OI2609,09,瑞银期货,11549,0,11549,净多,-570,0
20260526,菜油,OI2701,01,中粮期货,522,4105,-3583,净空,1,1
20260526,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260526,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260526,菜油,OI2701,01,瑞银期货,386,0,386,净多,-32,0
20260527,菜油,OI2609,09,中粮期货,7836,50124,-42288,净空,654,-401
20260527,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260527,菜油,OI2609,09,摩根大通期货,18200,2550,15650,净多,-423,-556
20260527,菜油,OI2609,09,瑞银期货,11001,0,11001,净多,-548,0
20260527,菜油,OI2701,01,中粮期货,572,4167,-3595,净空,50,62
20260527,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260527,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
